dataset_id,dataset_type,coordinate_expression,scale_value,window_size,log_scale,source_path,status,notes
baseline_1T,baseline_frequency,1_to_10^12,1000000000000,,27.631021115928547,C:\PrimeNet_1T_Baseline_Analyzer\outputs\baseline_1T\gap_frequencies.csv,existing,Imported from existing normalized manifest
huge_10e100_w100k,local_gaps,10^100,10^100,100000,230.25850929940458,C:\PrimeNet_HugeN_Campaign\outputs\20260706_222139\gaps_found.csv,existing,Imported from existing normalized manifest
huge_10e100_w250k,local_gaps,10^100,10^100,250000,230.25850929940458,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e100_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e100_w500k,local_gaps,10^100,10^100,500000,230.25850929940458,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e100_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e100_w1m,local_gaps,10^100,10^100,1000000,230.25850929940458,C:\PrimeNet_HugeN_Campaign\outputs\20260706_222143\gaps_found.csv,existing,Imported from existing normalized manifest
huge_10e1000_w100k,local_gaps,10^1000,10^1000,100000,2302.5850929940457,C:\PrimeNet_HugeN_Campaign\outputs\20260706_222223\gaps_found.csv,existing,Imported from existing normalized manifest
huge_10e1000_w250k,local_gaps,10^1000,10^1000,250000,2302.5850929940457,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e1000_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e1000_w500k,local_gaps,10^1000,10^1000,500000,2302.5850929940457,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e1000_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e1000_w1m,local_gaps,10^1000,10^1000,1000000,2302.5850929940457,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e1000_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w100k,local_gaps,10^150,10^150,100000,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w250k,local_gaps,10^150,10^150,250000,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w500k,local_gaps,10^150,10^150,500000,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e150_w1m,local_gaps,10^150,10^150,1000000,345.3877639491069,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e150_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w100k,local_gaps,10^200,10^200,100000,460.51701859880916,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w250k,local_gaps,10^200,10^200,250000,460.51701859880916,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w500k,local_gaps,10^200,10^200,500000,460.51701859880916,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w500k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e200_w1m,local_gaps,10^200,10^200,1000000,460.51701859880916,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e200_w1m_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w100k,local_gaps,10^50,10^50,100000,115.12925464970229,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w100k_gaps.csv,planned,Planned huge-number local prime-gap window
huge_10e50_w250k,local_gaps,10^50,10^50,250000,115.12925464970229,C:\PrimeNet\Lab\outputs\cross_scale_v7\raw_gap_windows\huge_10e50_w250k_gaps.csv,planned,Planned huge-number local prime-gap window
