source_gap,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,40,42
2,1,1393,1260,0,1506,966,0,618,622,0,434,315,0,362,188,0,109,80,102,66
4,1444,0,1771,947,0,702,835,0,528,557,0,349,316,0,209,100,0,121,0,41
6,1246,1766,1929,1177,1119,1271,932,489,700,460,415,576,145,178,341,98,133,135,56,81
8,0,923,1140,0,995,675,0,323,341,0,391,137,0,145,161,0,76,48,63,49
10,1500,0,1143,991,0,828,714,0,503,386,0,228,218,0,152,111,0,64,0,48
12,994,710,1273,668,832,684,406,356,586,213,198,210,112,157,224,59,50,43,45,41
14,0,860,915,0,736,380,0,371,204,0,196,117,0,110,99,0,48,59,47,21
16,581,0,481,369,0,341,369,0,164,156,0,122,91,0,66,40,0,28,0,14
18,604,576,697,327,524,609,201,147,267,151,137,165,74,51,115,44,30,32,31,39
20,0,503,424,0,398,223,0,184,181,0,164,82,0,69,50,0,26,27,24,13
22,429,0,460,362,0,166,198,0,153,154,0,51,59,0,44,29,0,19,0,9
24,283,338,575,138,216,236,150,114,145,90,43,72,43,30,71,11,22,24,17,13
26,0,331,155,0,194,117,0,55,68,0,50,51,0,40,46,0,21,12,13,7
28,363,0,201,136,0,160,105,0,59,61,0,29,31,0,29,14,0,12,0,7
30,221,223,312,133,166,216,106,78,110,51,50,51,26,34,34,18,15,14,12,9
32,0,109,97,0,125,54,0,31,38,0,22,22,0,18,8,0,8,6,1,3
34,112,0,131,78,0,46,53,0,27,34,0,15,22,0,10,7,0,12,0,1
36,87,111,132,52,55,68,60,23,49,22,19,25,2,10,18,6,8,5,3,1
40,116,0,67,67,0,40,32,0,28,21,0,12,10,0,7,3,0,7,0,2
42,53,55,77,41,49,42,16,17,42,14,6,9,6,10,11,3,2,7,3,2
