Metric,Accepted Measurement
Scientific domain,"1 – 3,000,000,000,000"
Repository partitions,300
Total gaps analyzed,"108,340,298,703"
Twin-prime events,"5,173,760,785"
Global twin density,0.047754721437340
End-to-end runtime,50.122088 min
Runtime accounted for,99.995377703%
Conservative steady-state partitions,290
Steady-state gaps analyzed,"104,222,243,890"
Mean partition runtime,10.021978 sec
Median partition runtime,10.004263 sec
Runtime coefficient of variation,2.408966%
Runtime P95,10.346914 sec
Sustained throughput,"35,859,890.441 gaps/sec"
